strain	date	country	continent
PQ156617.1	2024-05-15	Brazil	South America
PQ156618.1	2024-05-10	Brazil	South America
PQ156619.1	2024-05-03	Brazil	South America
PQ156620.1	2024-05-03	Brazil	South America
PQ156621.1	2024-05-14	Brazil	South America
PQ156622.1	2024-05-14	Brazil	South America
PQ156623.1	2024-05-14	Brazil	South America
PQ156624.1	2024-04-08	Brazil	South America
PQ156625.1	2024-04-01	Brazil	South America
PQ156626.1	2024-04-02	Brazil	South America
PQ156627.1	2024-05-07	Brazil	South America
PQ168430.1	2024-03-01	Brazil	South America
PQ168431.1	2024-03-01	Brazil	South America
PQ168432.1	2024-02-26	Brazil	South America
PQ168433.1	2024-02-02	Brazil	South America
PQ168434.1	2024-02-29	Brazil	South America
PQ168435.1	2024-02-27	Brazil	South America
PQ168436.1	2024-04-11	Brazil	South America
PQ168437.1	2024-04-12	Brazil	South America
PQ168438.1	2024-04-17	Brazil	South America
PQ168439.1	2024-04-15	Brazil	South America
PQ168440.1	2024-04-18	Brazil	South America
PQ168441.1	2024-04-19	Brazil	South America
PQ168442.1	2024-04-16	Brazil	South America
PQ168443.1	2024-04-03	Brazil	South America
PQ168444.1	2024-04-12	Brazil	South America
PQ168445.1	2024-04-12	Brazil	South America
PQ168446.1	2024-04-16	Brazil	South America
PQ168447.1	2024-04-05	Brazil	South America
PQ168448.1	2024-04-15	Brazil	South America
PQ168449.1	2024-04-05	Brazil	South America
PQ168450.1	2024-04-15	Brazil	South America
PQ168451.1	2024-04-03	Brazil	South America
PQ168452.1	2024-04-03	Brazil	South America
PQ168453.1	2024-04-05	Brazil	South America
PQ168454.1	2024-04-15	Brazil	South America
PQ168455.1	2024-04-03	Brazil	South America
PQ168456.1	2024-04-08	Brazil	South America
PQ168457.1	2024-04-12	Brazil	South America
PQ168458.1	2024-04-02	Brazil	South America
PQ168459.1	2024-04-12	Brazil	South America
PQ168460.1	2024-04-05	Brazil	South America
PQ168461.1	2024-04-02	Brazil	South America
PQ168462.1	2024-04-08	Brazil	South America
PQ168463.1	2024-04-04	Brazil	South America
PQ168464.1	2024-04-04	Brazil	South America
PQ168465.1	2024-04-17	Brazil	South America
PQ168466.1	2024-04-12	Brazil	South America
PQ168467.1	2024-04-02	Brazil	South America
PQ168468.1	2024-04-03	Brazil	South America
PQ168469.1	2024-04-08	Brazil	South America
PQ168470.1	2024-04-03	Brazil	South America
PQ168471.1	2024-04-16	Brazil	South America
PQ168472.1	2024-04-12	Brazil	South America
PQ168473.1	2024-04-15	Brazil	South America
PQ168474.1	2024-04-15	Brazil	South America
PQ168475.1	2024-04-15	Brazil	South America
PQ168476.1	2024-04-15	Brazil	South America
PQ168477.1	2024-04-15	Brazil	South America
PQ168478.1	2024-04-15	Brazil	South America
PQ168479.1	2024-04-04	Brazil	South America
PQ168480.1	2024-04-08	Brazil	South America
PQ168481.1	2024-04-15	Brazil	South America
PQ168482.1	2024-04-16	Brazil	South America
PQ168483.1	2024-04-12	Brazil	South America
PQ168484.1	2024-04-12	Brazil	South America
PQ168485.1	2024-04-12	Brazil	South America
PQ168486.1	2024-04-12	Brazil	South America
PQ168487.1	2024-04-12	Brazil	South America
PQ168488.1	2024-04-02	Brazil	South America
PQ168489.1	2024-04-03	Brazil	South America
PQ168490.1	2024-04-02	Brazil	South America
PQ168491.1	2024-04-02	Brazil	South America
PQ168492.1	2024-04-01	Brazil	South America
PQ168493.1	2024-04-03	Brazil	South America
PQ168494.1	2024-04-05	Brazil	South America
PQ168495.1	2024-04-04	Brazil	South America
PQ168496.1	2024-04-08	Brazil	South America
PQ168497.1	2024-04-08	Brazil	South America
PQ168498.1	2024-04-08	Brazil	South America
PQ168499.1	2024-04-04	Brazil	South America
PQ168500.1	2024-04-10	Brazil	South America
PQ168501.1	2024-04-09	Brazil	South America
PQ168502.1	2024-04-08	Brazil	South America
PQ168503.1	2024-04-08	Brazil	South America
PQ168504.1	2024-04-08	Brazil	South America
PQ168505.1	2024-04-09	Brazil	South America
PQ168506.1	2024-04-08	Brazil	South America
PQ168507.1	2024-04-05	Brazil	South America
PQ168508.1	2024-04-10	Brazil	South America
PQ168509.1	2024-04-08	Brazil	South America
PQ168510.1	2024-04-05	Brazil	South America
PQ168511.1	2024-04-04	Brazil	South America
PQ168512.1	2024-05-06	Brazil	South America
PQ168513.1	2024-05-10	Brazil	South America
PQ168514.1	2024-05-08	Brazil	South America
PQ168515.1	2024-05-02	Brazil	South America
PQ168516.1	2024-05-07	Brazil	South America
PQ168517.1	2024-05-07	Brazil	South America
PQ168518.1	2024-05-10	Brazil	South America
PQ168519.1	2024-05-03	Brazil	South America
PQ168520.1	2024-02-28	Brazil	South America
