strain	date	country	continent
PQ065334.1	2023-12-24	Brazil	South America
PQ065337.1	2023-12-22	Brazil	South America
PQ065340.1	2023-12-22	Brazil	South America
PQ065343.1	2023-12-22	Brazil	South America
PQ065346.1	2023-12-25	Brazil	South America
PQ065349.1	2023-12-24	Brazil	South America
PQ065352.1	2023-12-23	Brazil	South America
PQ065355.1	2023-12-24	Brazil	South America
PQ065358.1	2023-12-24	Brazil	South America
PQ065361.1	2023-12-24	Brazil	South America
PQ065364.1	2023-12-24	Brazil	South America
PQ065367.1	2023-12-24	Brazil	South America
PQ065370.1	2023-12-22	Brazil	South America
PQ065373.1	2023-12-24	Brazil	South America
PQ065376.1	2023-12-24	Brazil	South America
PQ065379.1	2023-12-22	Brazil	South America
PQ065382.1	2023-12-22	Brazil	South America
PQ065385.1	2023-12-22	Brazil	South America
PQ065388.1	2023-12-25	Brazil	South America
PQ065391.1	2023-12-25	Brazil	South America
PQ065394.1	2023-12-25	Brazil	South America
PQ065397.1	2023-12-25	Brazil	South America
PQ065400.1	2023-12-25	Brazil	South America
PQ065403.1	2023-12-25	Brazil	South America
PQ065406.1	2023-12-25	Brazil	South America
PQ065409.1	2023-12-25	Brazil	South America
PQ065412.1	2023-12-25	Brazil	South America
PQ065415.1	2023-12-25	Brazil	South America
PQ065418.1	2023-12-27	Brazil	South America
PQ065421.1	2023-12-26	Brazil	South America
PQ065424.1	2023-12-26	Brazil	South America
PQ065427.1	2023-12-26	Brazil	South America
PQ065430.1	2023-12-26	Brazil	South America
PQ065433.1	2023-12-24	Brazil	South America
PQ065436.1	2023-12-27	Brazil	South America
PQ065439.1	2023-12-27	Brazil	South America
PQ065442.1	2023-12-27	Brazil	South America
PQ065445.1	2023-12-27	Brazil	South America
PQ065448.1	2023-12-27	Brazil	South America
PQ065451.1	2023-12-27	Brazil	South America
PQ065454.1	2023-12-28	Brazil	South America
PQ065457.1	2023-12-26	Brazil	South America
PQ065460.1	2023-12-28	Brazil	South America
PQ065463.1	2023-12-28	Brazil	South America
PQ065466.1	2023-12-14	Brazil	South America
PQ065469.1	2023-12-28	Brazil	South America
PQ065472.1	2023-12-29	Brazil	South America
PQ065475.1	2023-12-29	Brazil	South America
PQ065478.1	2023-12-29	Brazil	South America
PQ065481.1	2023-12-21	Brazil	South America
PQ065484.1	2023-12-13	Brazil	South America
PQ065487.1	2023-12-04	Brazil	South America
PQ065490.1	2023-12-12	Brazil	South America
PQ073182.1	2024-05-23	Brazil	South America
PQ073185.1	2024-05-20	Brazil	South America
PQ146147.1	2024	Colombia	South America
PQ146148.1	2024	Colombia	South America
PQ146149.1	2024	Colombia	South America
PQ146150.1	2024	Colombia	South America
PQ146151.1	2024	Colombia	South America
PQ146152.1	2024	Colombia	South America
PQ146153.1	2024	Colombia	South America
PQ146154.1	2024	Colombia	South America
PQ146155.1	2024	Colombia	South America
PQ146156.1	2024	Colombia	South America
PQ146157.1	2024	Colombia	South America
PQ146158.1	2024	Colombia	South America
PQ146159.1	2024	Colombia	South America
PQ146160.1	2024	Colombia	South America
PQ146161.1	2024	Colombia	South America
PQ146162.1	2024	Colombia	South America
PQ146163.1	2024	Colombia	South America
PQ146164.1	2024	Colombia	South America
PQ146165.1	2024	Colombia	South America
PQ146166.1	2024	Colombia	South America
PQ146167.1	2024	Colombia	South America
PQ146168.1	2024	Colombia	South America
PQ146169.1	2024	Colombia	South America
PQ146170.1	2024	Colombia	South America
PQ146171.1	2024	Colombia	South America
PQ146172.1	2024	Colombia	South America
PQ146173.1	2024	Colombia	South America
PQ146174.1	2024	Colombia	South America
PQ146175.1	2024	Colombia	South America
PQ146176.1	2024	Colombia	South America
PQ146177.1	2024	Colombia	South America
PQ146178.1	2024	Colombia	South America
PQ146179.1	2024	Colombia	South America
PQ146180.1	2024	Colombia	South America
PQ146181.1	2024	Colombia	South America
PQ149810.1	2024-03-27	Brazil	South America
PQ149813.1	2024-05-10	Brazil	South America
PQ156598.1	2024-03-21	Brazil	South America
PQ156599.1	2024-03-20	Brazil	South America
PQ156600.1	2024-04-15	Brazil	South America
PQ156601.1	2024-05-07	Brazil	South America
PQ156602.1	2024-05-15	Brazil	South America
PQ156603.1	2024-05-10	Brazil	South America
PQ156604.1	2024-05-03	Brazil	South America
PQ156605.1	2024-05-03	Brazil	South America
PQ156606.1	2024-05-14	Brazil	South America
PQ156607.1	2024-05-14	Brazil	South America
PQ156608.1	2024-05-14	Brazil	South America
PQ156609.1	2024-04-08	Brazil	South America
PQ156610.1	2024-04-01	Brazil	South America
PQ156611.1	2024-04-02	Brazil	South America
PQ156612.1	2024-05-07	Brazil	South America
PQ168299.1	2024-03-01	Brazil	South America
PQ168300.1	2024-03-01	Brazil	South America
PQ168301.1	2024-02-26	Brazil	South America
PQ168302.1	2024-02-02	Brazil	South America
PQ168303.1	2024-02-29	Brazil	South America
PQ168304.1	2024-02-27	Brazil	South America
PQ168305.1	2024-04-11	Brazil	South America
PQ168306.1	2024-04-12	Brazil	South America
PQ168307.1	2024-04-17	Brazil	South America
PQ168308.1	2024-04-15	Brazil	South America
PQ168309.1	2024-04-18	Brazil	South America
PQ168310.1	2024-04-19	Brazil	South America
PQ168311.1	2024-04-16	Brazil	South America
PQ168312.1	2024-04-03	Brazil	South America
PQ168313.1	2024-04-12	Brazil	South America
PQ168314.1	2024-04-12	Brazil	South America
PQ168315.1	2024-04-16	Brazil	South America
PQ168316.1	2024-04-05	Brazil	South America
PQ168317.1	2024-04-15	Brazil	South America
PQ168318.1	2024-04-05	Brazil	South America
PQ168319.1	2024-04-15	Brazil	South America
PQ168320.1	2024-04-03	Brazil	South America
PQ168321.1	2024-04-03	Brazil	South America
PQ168322.1	2024-04-05	Brazil	South America
PQ168323.1	2024-04-15	Brazil	South America
PQ168324.1	2024-04-03	Brazil	South America
PQ168325.1	2024-04-08	Brazil	South America
PQ168326.1	2024-04-12	Brazil	South America
PQ168327.1	2024-04-02	Brazil	South America
PQ168328.1	2024-04-12	Brazil	South America
PQ168329.1	2024-04-05	Brazil	South America
PQ168330.1	2024-04-02	Brazil	South America
PQ168331.1	2024-04-08	Brazil	South America
PQ168332.1	2024-04-04	Brazil	South America
PQ168333.1	2024-04-04	Brazil	South America
PQ168334.1	2024-04-17	Brazil	South America
PQ168335.1	2024-04-12	Brazil	South America
PQ168336.1	2024-04-02	Brazil	South America
PQ168337.1	2024-04-03	Brazil	South America
PQ168338.1	2024-04-08	Brazil	South America
PQ168339.1	2024-04-03	Brazil	South America
PQ168340.1	2024-04-16	Brazil	South America
PQ168341.1	2024-04-12	Brazil	South America
PQ168342.1	2024-04-15	Brazil	South America
PQ168343.1	2024-04-15	Brazil	South America
PQ168344.1	2024-04-15	Brazil	South America
PQ168345.1	2024-04-15	Brazil	South America
PQ168346.1	2024-04-15	Brazil	South America
PQ168347.1	2024-04-15	Brazil	South America
PQ168348.1	2024-04-04	Brazil	South America
PQ168349.1	2024-04-08	Brazil	South America
PQ168350.1	2024-04-15	Brazil	South America
PQ168351.1	2024-04-16	Brazil	South America
PQ168352.1	2024-04-12	Brazil	South America
PQ168353.1	2024-04-12	Brazil	South America
PQ168354.1	2024-04-12	Brazil	South America
PQ168355.1	2024-04-12	Brazil	South America
PQ168356.1	2024-04-12	Brazil	South America
PQ168357.1	2024-04-02	Brazil	South America
PQ168358.1	2024-04-03	Brazil	South America
PQ168359.1	2024-04-02	Brazil	South America
PQ168360.1	2024-04-02	Brazil	South America
PQ168361.1	2024-04-01	Brazil	South America
PQ168362.1	2024-04-03	Brazil	South America
PQ168363.1	2024-04-05	Brazil	South America
PQ168364.1	2024-04-04	Brazil	South America
PQ168365.1	2024-04-08	Brazil	South America
PQ168366.1	2024-04-08	Brazil	South America
PQ168367.1	2024-04-08	Brazil	South America
PQ168368.1	2024-04-04	Brazil	South America
PQ168369.1	2024-04-10	Brazil	South America
PQ168370.1	2024-04-09	Brazil	South America
PQ168371.1	2024-04-08	Brazil	South America
PQ168372.1	2024-04-08	Brazil	South America
PQ168373.1	2024-04-08	Brazil	South America
PQ168374.1	2024-04-09	Brazil	South America
PQ168375.1	2024-04-08	Brazil	South America
PQ168376.1	2024-04-05	Brazil	South America
PQ168377.1	2024-04-08	Brazil	South America
PQ168378.1	2024-04-10	Brazil	South America
PQ168379.1	2024-04-05	Brazil	South America
PQ168380.1	2024-04-04	Brazil	South America
PQ168381.1	2024-05-06	Brazil	South America
PQ168382.1	2024-05-10	Brazil	South America
PQ168383.1	2024-05-08	Brazil	South America
PQ168384.1	2024-05-02	Brazil	South America
PQ168385.1	2024-05-07	Brazil	South America
PQ168386.1	2024-05-07	Brazil	South America
PQ168387.1	2024-05-10	Brazil	South America
PQ168388.1	2024-05-03	Brazil	South America
PQ168389.1	2024-02-28	Brazil	South America
PQ168390.1	2024-03-01	Brazil	South America
PQ168391.1	2024-03-01	Brazil	South America
PQ168392.1	2024-03-06	Brazil	South America
PQ168393.1	2024-03-06	Brazil	South America
PQ168394.1	2024-03-07	Brazil	South America
PQ168395.1	2024-03-08	Brazil	South America
